rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
compare_atlas_vertices,compare_atlas_vertices,COMPOSITE,composite-atlas-or-vertices-gated,expected-unsupported,0.01862026862026862,0.0,true,560,585,34,327600,255/255/255/0,84.75/42.96/60.29/0.0,unsupported.composition.atlas_or_vertices,images/reference/compare_atlas_vertices.png,images/generated/compare_atlas_vertices.png,images/diff/compare_atlas_vertices.png,
composeshader_alpha,composeshader_alpha,COMPOSITE,composite-src-over-basic,instrumented-existing,15.151515151515152,12.1,true,750,220,25000,165000,255/255/255/0,32.3/116.55/38.77/0.0,none,images/reference/composeshader_alpha.png,images/generated/composeshader_alpha.png,images/diff/composeshader_alpha.png,
composeshader_bitmap,composeshader_bitmap,COMPOSITE,composite-src-over-basic,instrumented-existing,37.142857142857146,0.0,true,175,50,3250,8750,255/255/249/0,95.17/76.61/41.24/0.0,none,images/reference/composeshader_bitmap.png,images/generated/composeshader_bitmap.png,images/diff/composeshader_bitmap.png,
composeshader_bitmap_lm,composeshader_bitmap_lm,COMPOSITE,composite-src-over-basic,no-score,,0.0,,175,50,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/composeshader_bitmap_lm.png,,,generated-render-missing
composeshader,composeshader,COMPOSITE,composite-src-over-basic,instrumented-existing,30.555555555555557,25.6,true,120,120,4400,14400,253/254/253/0,95.75/191.5/95.75/0.0,none,images/reference/composeshader.png,images/generated/composeshader.png,images/diff/composeshader.png,
composeshader_grid,composeshader_grid,COMPOSITE,composite-src-over-basic,instrumented-existing,20.465366796756495,4.5,true,882,882,163765,777924,255/255/255/255,121.42/133.75/130.76/116.66,none,images/reference/composeshader_grid.png,images/generated/composeshader_grid.png,images/diff/composeshader_grid.png,
composeCFIF,composeCFIF,COMPOSITE,composite-src-over-basic,no-score,,0.0,,604,200,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/composeCFIF.png,,,generated-render-missing
compositor_quads_color,compositor_quads_color,COMPOSITE,composite-src-over-basic,instrumented-existing,69.56596631989302,0.0,true,955,231,203478,220605,255/255/255/0,176.29/116.43/141.88/0.0,none,images/reference/compositor_quads_color.png,images/generated/compositor_quads_color.png,images/diff/compositor_quads_color.png,
crbug_1162942,crbug_1162942,COMPOSITE,composite-src-over-basic,instrumented-existing,98.64112903225806,0.0,true,620,200,122315,124000,255/255/255/0,169.65/169.71/170.64/0.0,none,images/reference/crbug_1162942.png,images/generated/crbug_1162942.png,images/diff/crbug_1162942.png,
crbug_1167277,crbug_1167277,COMPOSITE,composite-src-over-basic,instrumented-existing,96.80978260869566,0.0,true,230,320,71252,73600,255/255/255/0,168.37/152.66/185.27/0.0,none,images/reference/crbug_1167277.png,images/generated/crbug_1167277.png,images/diff/crbug_1167277.png,
crbug_1174186,crbug_1174186,COMPOSITE,composite-src-over-basic,instrumented-existing,99.99729166666667,0.0,true,1200,1200,1439961,1440000,255/255/255/0,170.77/175.77/163.46/0.0,none,images/reference/crbug_1174186.png,images/generated/crbug_1174186.png,images/diff/crbug_1174186.png,
crbug_1177833,crbug_1177833,COMPOSITE,composite-src-over-basic,instrumented-existing,99.84625,0.0,true,400,400,159754,160000,255/255/255/0,241.73/241.73/241.73/0.0,none,images/reference/crbug_1177833.png,images/generated/crbug_1177833.png,images/diff/crbug_1177833.png,
crbug_918512,crbug_918512,COMPOSITE,composite-src-over-basic,instrumented-existing,0.0,0.0,true,256,256,0,65536,255/127/255/0,132.0/63.5/131.5/0.0,none,images/reference/crbug_918512.png,images/generated/crbug_918512.png,images/diff/crbug_918512.png,
destcolor,destcolor,COMPOSITE,composite-src-over-basic,no-score,,0.0,,640,640,,,0/0/0/0,0.0/0.0/0.0/0.0,none,images/reference/destcolor.png,,,generated-render-missing
discard,discard,COMPOSITE,composite-src-over-basic,instrumented-existing,0.0,0.0,true,100,100,0,10000,130/143/144/0,62.73/67.72/64.53/0.0,none,images/reference/discard.png,images/generated/discard.png,images/diff/discard.png,
displacement,displacement,COMPOSITE,composite-src-over-basic,instrumented-existing,86.249,0.0,true,600,500,258402,300000,223/197/169/0,155.73/114.0/86.8/0.0,none,images/reference/displacement.png,images/generated/displacement.png,images/diff/displacement.png,
draw-atlas-colors,draw-atlas-colors,COMPOSITE,composite-atlas-or-vertices-gated,expected-unsupported,17.58347481607244,0.0,true,930,266,43498,247380,255/255/255/0,87.74/119.31/137.47/0.0,unsupported.composition.atlas_or_vertices,images/reference/draw-atlas-colors.png,images/generated/draw-atlas-colors.png,images/diff/draw-atlas-colors.png,
draw-atlas,draw-atlas,COMPOSITE,composite-atlas-or-vertices-gated,expected-unsupported,89.66341145833333,0.0,true,640,480,275446,307200,255/255/0/0,204.23/204.23/0.0/0.0,unsupported.composition.atlas_or_vertices,images/reference/draw-atlas.png,images/generated/draw-atlas.png,images/diff/draw-atlas.png,
draw_image_set_alpha_only,draw_image_set_alpha_only,COMPOSITE,composite-src-over-basic,instrumented-existing,0.0,0.0,true,200,400,0,80000,194/254/186/0,76.69/86.75/71.09/0.0,none,images/reference/draw_image_set_alpha_only.png,images/generated/draw_image_set_alpha_only.png,images/diff/draw_image_set_alpha_only.png,
draw_image_set,draw_image_set,COMPOSITE,composite-src-over-basic,instrumented-existing,72.94137931034483,0.0,true,1000,725,528825,725000,255/255/255/0,145.5/104.78/95.56/0.0,none,images/reference/draw_image_set.png,images/generated/draw_image_set.png,images/diff/draw_image_set.png,
draw_image_set_rect_to_rect,draw_image_set_rect_to_rect,COMPOSITE,composite-src-over-basic,instrumented-existing,0.025788235294117647,0.0,true,1250,850,274,1062500,255/255/255/0,228.61/228.68/230.31/0.0,none,images/reference/draw_image_set_rect_to_rect.png,images/generated/draw_image_set_rect_to_rect.png,images/diff/draw_image_set_rect_to_rect.png,
draw_quad_set,draw_quad_set,COMPOSITE,composite-src-over-basic,instrumented-existing,85.75078125,0.0,true,800,800,548805,640000,255/255/255/0,169.78/143.03/69.49/0.0,none,images/reference/draw_quad_set.png,images/generated/draw_quad_set.png,images/diff/draw_quad_set.png,
dropshadow_pseudopersp,dropshadow_pseudopersp,COMPOSITE,composite-src-over-basic,instrumented-existing,67.81685744016649,0.0,true,155,155,16123,24025,255/255/255/0,43.12/40.0/35.28/0.0,none,images/reference/dropshadow_pseudopersp.png,images/generated/dropshadow_pseudopersp.png,images/diff/dropshadow_pseudopersp.png,
dstreadshuffle,dstreadshuffle,COMPOSITE,composite-destination-read-gated,expected-unsupported,0.0,0.0,true,530,680,0,360400,169/173/185/0,36.26/31.55/40.57/0.0,unsupported.composition.destination_read,images/reference/dstreadshuffle.png,images/generated/dstreadshuffle.png,images/diff/dstreadshuffle.png,
ducky_yuv_blend,ducky_yuv_blend,COMPOSITE,composite-src-over-basic,instrumented-existing,6.619469026548673,0.0,true,560,1130,41888,632800,255/255/255/0,87.14/108.33/180.52/0.0,none,images/reference/ducky_yuv_blend.png,images/generated/ducky_yuv_blend.png,images/diff/ducky_yuv_blend.png,
fadefilter,fadefilter,COMPOSITE,composite-src-over-basic,instrumented-existing,75.0,70.0,true,256,256,49152,65536,128/128/128/0,128.0/128.0/128.0/0.0,none,images/reference/fadefilter.png,images/generated/fadefilter.png,images/diff/fadefilter.png,
filterfastbounds,filterfastbounds,COMPOSITE,composite-layer-bounds-gated,expected-unsupported,0.02365079365079365,0.0,true,900,700,305,630000,255/255/255/0,62.3/66.03/61.7/0.0,unsupported.composition.layer_bounds,images/reference/filterfastbounds.png,images/generated/filterfastbounds.png,images/diff/filterfastbounds.png,
graphitestart,graphitestart,COMPOSITE,composite-src-over-basic,no-score,,0.0,,384,384,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/graphitestart.png,,reference-missing
hslcolorfilter,hslcolorfilter,COMPOSITE,composite-advanced-blend-gated,expected-unsupported,32.89123376623377,0.0,true,840,1100,303915,924000,255/255/255/0,136.61/109.28/105.58/0.0,unsupported.composition.advanced_blend,images/reference/hslcolorfilter.png,images/generated/hslcolorfilter.png,images/diff/hslcolorfilter.png,
hairmodes,hairmodes,COMPOSITE,composite-porter-duff,instrumented-existing,62.000325520833336,41.5,true,640,480,190465,307200,255/255/255/255,73.02/92.52/73.72/43.08,none,images/reference/hairmodes.png,images/generated/hairmodes.png,images/diff/hairmodes.png,
highcontrastfilter,highcontrastfilter,COMPOSITE,composite-src-over-basic,instrumented-existing,42.74077380952381,0.0,true,800,420,143609,336000,255/255/255/0,142.71/148.08/164.06/0.0,none,images/reference/highcontrastfilter.png,images/generated/highcontrastfilter.png,images/diff/highcontrastfilter.png,
hsl,hsl,COMPOSITE,composite-advanced-blend-gated,expected-unsupported,78.68333333333334,0.0,true,600,100,47210,60000,255/255/255/0,141.1/128.92/141.1/0.0,unsupported.composition.advanced_blend,images/reference/hsl.png,images/generated/hsl.png,images/diff/hsl.png,
