upstream_cpp	n_gm	kt_files	gm_status	source_tags	test_files	disabled_tags	bucket
blurredclippedcircle	1	BlurredClippedCircleGM.kt	PORTED	-	-	-	ported
blurroundrect	2	BlurLargeRRectsGM.kt,SimpleBlurRoundRectGM.kt	PORTED	-	-	-	ported
blurs	7	Blur2RectsGM.kt,Blur2RectsNonNinepatchGM.kt,BlurBigSigmaGM.kt,BlurDrawImageGM.kt,BlurSmallSigmaGM.kt,BlursGM.kt,TiledBlurBigSigmaGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Blur2RectsCrossBackendTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Blur2RectsNonNinepatchCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurBigSigmaTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurDrawImageTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlurSmallSigmaTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/BlurSmallSigmaCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/BlursTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/TiledBlurBigSigmaTest.kt	SLOW.GM_STRESS	slow-or-reference
blurtextsmallradii	1	BlurTextSmallRadiiGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BlurTextSmallRadiiTest.kt	-	ported
bmpfilterqualityrepeat	1	BmpFilterQualityRepeatGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/BmpFilterQualityRepeatTest.kt	-	ported
bug12866	3	Bug12866GM.kt,Bug40810065GM.kt,Bug41422450GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/Bug12866WebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Bug12866CrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/Bug41422450Test.kt	-	ported
bug5252	1	Bug5252GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Bug5252CrossBackendTest.kt	-	ported
bug530095	2	Bug530095GM.kt,Bug591993GM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Bug530095CrossBackendTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Bug591993CrossBackendTest.kt	-	ported
bug615686	1	Bug615686GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Bug615686Test.kt	-	ported
bug6643	1	Bug6643GM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/Bug6643Test.kt	-	ported
bug6783	1	Bug6783GM.kt	PORTED	-	-	-	ported
bug9331	1	Bug9331GM.kt	PORTED	-	-	-	ported
circle_sizes	1	CircleSizesGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/CircleSizesWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/CircleSizesTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/CircleSizesCrossBackendTest.kt	-	ported
circulararcs	7	Bug406747427GM.kt,CircularArcStrokeMatrixGM.kt,CircularArcsWeirdGM.kt,Crbug1472747GM.kt,Crbug888453GM.kt,OneBadArcGM.kt	PARTIAL	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/Crbug1472747WebGpuTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug1472747CrossBackendTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/Crbug888453CrossBackendTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/OneBadArcWebGpuTest.kt	-	partial-coverage
circularclips	1	CircularClipsGM.kt	PORTED	-	-	-	ported
clear_swizzle	1	ClearSwizzleGM.kt	TEST_DISABLED	INTRACTABLE.GPU_ONLY,STUB.CLEAR_SWIZZLE_GPU	skia-integration-tests/src/test/kotlin/org/skia/tests/ClearSwizzleTest.kt	STUB.CLEAR_SWIZZLE_GPU	gpu-intractable
clip_error	1	ClipErrorGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ClipErrorTest.kt	-	ported
clip_sierpinski_region	1	ClipSierpinskiRegionGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ClipSierpinskiRegionTest.kt	-	ported
clip_strokerect	1	ClipStrokeRectGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ClipStrokeRectWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClipStrokeRectTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ClipStrokeRectCrossBackendTest.kt	-	ported
clipdrawdraw	2	ClipDrawDrawGM.kt,ClipRegionGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ClipDrawDrawWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClipDrawDrawTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ClipDrawDrawCrossBackendTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClipRegionTest.kt	-	ported
clippedbitmapshaders	1	ClippedBitmapShadersGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/ClippedBitmapShadersWebGpuTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/ClippedBitmapShadersTest.kt,gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/ClippedBitmapShadersCrossBackendTest.kt	-	ported
clipshader	1	ClipShaderGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/ClipShaderTest.kt	-	ported
clockwise	1	ClockwiseGM.kt	TEST_DISABLED	STUB.GPU_CLOCKWISE	skia-integration-tests/src/test/kotlin/org/skia/tests/ClockwiseTest.kt	STUB.GPU_CLOCKWISE	gpu-intractable
closedcappedhairlines	3	HairlinesButtcapGM.kt,HairlinesRoundcapGM.kt,HairlinesSquarecapGM.kt	PORTED	-	skia-integration-tests/src/test/kotlin/org/skia/tests/HairlinesButtcapTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/HairlinesRoundcapTest.kt,skia-integration-tests/src/test/kotlin/org/skia/tests/HairlinesSquarecapTest.kt	-	ported
collapsepaths	1	CollapsePathsGM.kt	PORTED	-	gpu-raster/src/test/kotlin/org/skia/gpu/webgpu/crossbackend/CollapsePathsCrossBackendTest.kt	-	ported
