selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
166,offsetimagefilter,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,600,100
167,overdraw_canvas,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,500,500
168,overdrawcolorfilter,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,10.0,,generated-render-missing,True,False,200,400
169,patch_alpha,COMPOSITE,non-blocking,trusted,failure,failed,other,,failed.prepared-surface.materialization,failed.prepared-surface.materialization,0,0,,0.0,,generated-render-missing,True,False,1500,1100
170,patch_alpha_test,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,550,250
171,patch_image_persp,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.vertices.material,unsupported.vertices.material,unsupported.vertices.material,0,0,,0.0,,generated-render-missing,True,False,1500,1100
172,patch_primitive,COMPOSITE,non-blocking,trusted,failure,failed,other,,failed.prepared-surface.materialization,failed.prepared-surface.materialization,0,0,,0.0,,generated-render-missing,True,False,1500,1100
173,perlinnoise,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,220,620
174,perlinnoise_layered,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,500,500
175,perlinnoise_localmatrix,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,7,0,62.5,0.0,True,,True,True,640,480
176,perlinnoise_rotated,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,320,220
177,PlusMergesAA,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.layer.bounds_unbounded,unsupported.layer.bounds_unbounded,unsupported.layer.bounds_unbounded,0,0,,0.0,,generated-render-missing,True,False,256,256
178,rasterallocator,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,0,0,,0.0,,generated-render-missing,True,False,600,300
179,recordopts,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.operation,unsupported.composite.operation,unsupported.composite.operation,0,0,,0.0,,generated-render-missing,True,False,102,765
180,rotate_imagefilter,COMPOSITE,non-blocking,trusted,failure,failed,path-clip,,invalid.core_primitive.coverage_sample.stencil_1x_requires_single_sample,invalid.core_primitive.coverage_sample.stencil_1x_requires_single_sample,0,0,,0.0,,generated-render-missing,True,False,500,500
181,runtimecolorfilter_vertices_atlas_and_patch,COMPOSITE,non-blocking,trusted,failure,failed,other,,invalid.surface.prepared.empty-frame-accounting,invalid.surface.prepared.empty-frame-accounting,0,0,,0.0,,generated-render-missing,True,False,404,404
182,gpusamplerstress,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.mapping.image_tile_mode,unsupported.material.mapping.image_tile_mode,unsupported.material.mapping.image_tile_mode,0,0,,0.0,,generated-render-missing,True,False,640,480
183,save_behind,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,7.930228376191333,0.0,True,,True,True,830,670
184,savelayer_f16,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.composite.paint,unsupported.composite.paint,unsupported.composite.paint,0,0,,0.0,,generated-render-missing,True,False,900,300
185,savelayer_initfromprev,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,12.26654052734375,0.0,True,,True,True,256,256
186,shadermaskfilter_gradient,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,512,512
187,shadow_utils_gray,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,800,960
188,shadow_utils_occl,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,unsupported.core_primitive.stencil_edge_fan_budget,0,0,,0.0,,generated-render-missing,True,False,800,960
189,simple-offsetimagefilter,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,200
190,sk3d_simple,COMPOSITE,non-blocking,trusted,refusal,refused,compositing,unsupported.surface.prepared.mixed-composite-topology,unsupported.surface.prepared.mixed-composite-topology,unsupported.surface.prepared.mixed-composite-topology,0,0,,0.0,,generated-render-missing,True,False,300,300
191,skbug_14554,COMPOSITE,non-blocking,trusted,gpu,rendered,other,,,,1,0,41.75627240143369,0.0,True,,True,True,310,630
192,srcmode,COMPOSITE,non-blocking,trusted,failure,failed,other,,invalid.preflight.text.blend,invalid.preflight.text.blend,0,0,,0.0,,generated-render-missing,True,False,640,760
193,srgb_colorfilter,COMPOSITE,non-blocking,trusted,refusal,refused,images,unsupported.image.native_binding,unsupported.image.native_binding,unsupported.image.native_binding,0,0,,0.0,,generated-render-missing,True,False,512,768
194,tablecolorfilter,COMPOSITE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,700,1650
195,xfermodes,COMPOSITE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,45.0,,generated-render-missing,True,False,1990,570
196,alphagradients,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
197,analytic_gradients,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,0.0,,generated-render-missing,True,False,1024,512
198,bug6643,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,0.0,,generated-render-missing,True,False,200,200
199,clamped_gradients,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,640,510
200,gradients_2pt_conical_inside_nodither,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,840,815
201,gradients_2pt_conical_outside,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,840,815
202,crbug_938592,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,83.0,,generated-render-missing,True,False,500,300
203,degenerate_gradients,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,800,800
204,emptyshader,GRADIENT,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,0.0,,generated-render-missing,True,False,128,88
205,fillrect_gradient,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,28.6,,generated-render-missing,True,False,120,540
206,gradient_dirty_laundry,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,640,615
207,gradients_many,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,0,0,,0.0,,generated-render-missing,True,False,880,400
208,gradient_many_hard_stops,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.material.stops,unsupported.core_primitive.material.stops,unsupported.core_primitive.material.stops,0,0,,0.0,,generated-render-missing,True,False,500,500
209,gradient_many_stops,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.material.stops,unsupported.core_primitive.material.stops,unsupported.core_primitive.material.stops,0,0,,0.0,,generated-render-missing,True,False,500,500
210,gradient_matrix,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,800,800
211,gradients_alpha_many_stops,GRADIENT,non-blocking,trusted,failure,failed,other,,invalid.preflight.core_primitive_direct_geometry_resources,invalid.preflight.core_primitive_direct_geometry_resources,0,0,,0.0,,generated-render-missing,True,False,100,100
212,gradients_color_space,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,unsupported.core_primitive.geometry.invalid,0,0,,0.0,,generated-render-missing,True,False,265,355
213,gradients_color_space_many_stops,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.material.stops,unsupported.core_primitive.material.stops,unsupported.core_primitive.material.stops,0,0,,0.0,,generated-render-missing,True,False,500,500
214,gradients_color_space_tilemode,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.mapping.gradient_interpolation,unsupported.material.mapping.gradient_interpolation,unsupported.material.mapping.gradient_interpolation,0,0,,0.0,,generated-render-missing,True,False,360,105
215,gradients_degenerate_2pt,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,320,320
216,gradients_dup_color_stops,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,21.6,,generated-render-missing,True,False,704,564
217,gradients,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,840,815
218,gradients_hue_method,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.mapping.gradient_interpolation,unsupported.material.mapping.gradient_interpolation,unsupported.material.mapping.gradient_interpolation,0,0,,0.0,,generated-render-missing,True,False,285,155
219,gradients_interesting,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,10.8,,generated-render-missing,True,False,640,1300
220,gradients_local_perspective,GRADIENT,non-blocking,trusted,refusal,refused,transforms,unsupported.material.mapping.local_matrix,unsupported.material.mapping.local_matrix,unsupported.material.mapping.local_matrix,0,0,,0.0,,generated-render-missing,True,False,840,815
221,gradients_no_texture,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,640,615
222,gradients_powerless_hue,GRADIENT,non-blocking,missing,gpu,rendered-no-score,other,,,,27,0,,0.0,,reference-missing,False,True,512,512
223,gradients_view_perspective,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,840,500
224,hardstop_gradients,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,unsupported.material.gradient_tile_mode_unsupported,0,0,,0.0,,generated-render-missing,True,False,512,512
225,hardstop_gradients_many,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,0.0,,generated-render-missing,True,False,1000,2000
226,linear_gradient,GRADIENT,non-blocking,trusted,failure,failed,other,,invalid.preflight.core_primitive_direct_geometry_resources,invalid.preflight.core_primitive_direct_geometry_resources,0,0,,0.0,,generated-render-missing,True,False,500,500
227,linear_gradient_rt,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,unsupported.core_primitive.material.path_stencil,0,0,,0.0,,generated-render-missing,True,False,266,143
