selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
247,small_color_stop,GRADIENT,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,100,150
248,sweep_tiling,GRADIENT,non-blocking,trusted,refusal,refused,gradients,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,unsupported.material.gradient_antialias,0,0,,10.4,,generated-render-missing,True,False,690,512
249,testgradient,GRADIENT,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,800,800
250,all_bitmap_configs,IMAGE,non-blocking,trusted,refusal,refused,images,unsupported.image.pixel.format,unsupported.image.pixel.format,unsupported.image.pixel.format,0,0,,0.0,,generated-render-missing,True,False,128,768
251,all_variants_8888,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,2317,0,8.912271453541603,0.0,True,,True,True,542,266
252,alpha_image_alpha_tint,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,152,80
253,alpha_image_shader_rt,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.core_primitive.material.non_solid,unsupported.core_primitive.material.non_solid,unsupported.core_primitive.material.non_solid,0,0,,0.0,,generated-render-missing,True,False,350,50
254,animatedGif,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,37.50159022703549,0.0,True,,True,True,2560,958
255,anisomips,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,520,260
256,anisotropic_image_scale_aniso,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,542,1340
